# night,n_img_proc,n_img_raw,size_img_proc,size_conf_proc,size_cat_proc,size_img_raw
20100509,84,222,7611283.12,2720075.62,610934.06,20664658.12
20100510,21,54,2028892.50,672474.38,157500.00,5506846.88
20100511,42,108,4119831.56,1351065.94,319111.88,11194455.94
20100517,21,54,2040854.06,669417.19,123944.06,5529645.00
20100525,21,54,2109285.00,686868.75,192583.12,5681705.62
20100527,21,54,2105502.19,681404.06,191123.44,5668419.38
20100601,21,54,1975972.50,664967.81,110531.25,5393213.44
20100603,21,60,1650805.31,704930.62,121612.50,4519108.12
20100604,21,54,2055929.06,669799.69,103671.56,5568471.56
20100606,21,60,1583195.62,705853.12,152822.81,4323594.38
20100608,25,62,2285595.00,790188.75,151430.62,6108269.06
20100609,26,69,1965602.81,859522.50,183043.12,5138235.00
20100611,49,132,3984069.38,1658725.31,281705.62,10249036.88
20100612,49,132,3889980.00,1664100.00,231682.50,9969755.62
20100614,17,47,1334401.88,559136.25,94410.00,3606499.69
20100615,28,72,2137573.12,961357.50,225810.00,5188235.62
20100622,35,84,2855905.31,1176862.50,203686.88,6596685.00
20100624,52,143,4031043.75,1744020.00,296229.38,10671688.12
20100704,12,31,898824.38,389787.19,63818.44,2350485.00
20100707,21,60,1566916.88,712749.38,187219.69,4267203.75
20100708,21,60,1554693.75,717406.88,186747.19,4229690.62
20100709,21,60,1556887.50,717035.62,182902.50,4234612.50
20100711,63,180,4568481.56,2161482.19,540579.38,12401274.38
20100712,42,120,2956199.06,1445987.81,413679.38,8043986.25
20100713,42,108,3982196.25,1365513.75,246709.69,10782109.69
20100714,51,128,4610953.12,1668962.81,352499.06,12071747.81
20100719,19,52,1363412.81,629229.38,138999.38,3669530.62
20100729,21,54,1907541.56,682028.44,149841.56,5146557.19
20100730,9,17,753966.56,301980.94,51094.69,1508675.62
20100731,42,120,3073311.56,1438351.88,339803.44,8365933.12
20100801,63,180,4785060.94,2161634.06,480847.50,13024755.00
20100802,30,77,2226495.94,1043035.31,238047.19,5432945.62
20100803,21,60,1602649.69,721122.19,142050.94,4373820.00
20100804,21,60,1524400.31,723827.81,212833.12,4141710.00
20100805,42,120,3061080.00,1446986.25,342030.94,8317726.88
20100806,21,60,1578706.88,722688.75,178920.00,4293883.12
20100807,7,12,587790.00,256328.44,51550.31,969406.88
20100808,21,54,2018486.25,687583.12,141333.75,5483460.94
20100809,21,60,1575630.00,721285.31,142020.00,4291880.62
20100813,63,180,4597425.00,2171711.25,538084.69,12502715.62
20100815,63,180,4532889.38,2170906.88,481103.44,12337824.38
20100817,26,69,1873951.88,879674.06,260910.00,4881408.75
20100821,21,60,1619845.31,721175.62,137272.50,4415917.50
20100822,63,181,4609800.00,2133056.25,434390.62,12822589.69
20100823,42,120,3174181.88,1439865.00,296685.00,8670735.00
20100905,21,60,1498005.00,716563.12,214087.50,4056761.25
20100908,42,120,3230381.25,1418366.25,320993.44,8798416.88
20100909,63,180,4783916.25,2133807.19,530642.81,12994290.00
20100910,63,180,4680267.19,2137016.25,571871.25,12713265.00
20100911,42,120,3096295.31,1427554.69,346297.50,8419033.12
20100914,42,120,3189999.38,1422942.19,282262.50,8678475.00
20100915,63,174,5175742.50,2091203.44,476114.06,14091795.00
20100916,63,174,5116466.25,2088961.88,439835.62,13932241.88
20100917,4,7,265590.00,117759.38,34292.81,561917.81
20100918,28,66,2551269.38,902871.56,150474.38,6402439.69
20100921,42,108,3952648.12,1347339.38,295402.50,10700474.06
20100922,63,162,5879835.00,2010009.38,442715.62,15887033.44
20100923,21,54,1966038.75,674142.19,147037.50,5306183.44
20100924,14,30,1213936.88,451814.06,94741.88,2721487.50
20100925,105,270,9857174.06,3354651.56,584775.00,26752682.81
20100926,126,324,11613720.94,4012374.38,749030.62,31476107.81
20100927,63,162,5880591.56,2014950.94,452393.44,15939604.69
20100928,105,270,9724778.44,3352764.38,706609.69,26363576.25
20100929,63,161,5887378.12,2018972.81,394998.75,15874860.94
20100930,54,140,4698804.38,1661551.88,285387.19,13453610.62
20101002,44,113,4149554.06,1390196.25,182430.00,11336850.00
20101004,91,228,8476118.44,2908335.94,551207.81,22493148.75
20101005,35,77,3263703.75,1144341.56,169680.94,7449966.56
20101006,62,135,5888171.25,2044684.69,361935.00,13337710.31
20101007,42,98,3975932.81,1365176.25,313585.31,9648199.69
20101008,21,53,1968657.19,668084.06,140430.94,5235522.19
20101009,63,162,5908831.88,2001588.75,435456.56,16070031.56
20101010,21,54,1991655.00,668854.69,117545.62,5426420.62
20101015,42,120,3174221.25,1414968.75,369154.69,8635843.12
20101016,21,54,2035594.69,669152.81,134628.75,5530550.62
20101017,21,54,2013654.38,664683.75,109063.12,5481562.50
20101018,63,180,4867627.50,2124351.56,433189.69,13304401.88
20101021,63,162,5945636.25,2003000.62,294350.62,16170772.50
20101028,21,60,1670748.75,703110.94,136662.19,4570503.75
20101030,30,89,2204516.25,991378.12,185385.94,6347390.62
20101031,21,60,1569304.69,706719.38,149956.88,4273188.75
