# night,n_img_proc,n_img_raw,size_img_proc,size_conf_proc,size_cat_proc,size_img_raw
20120914,42,120,3172553.44,1393787.81,271738.12,8574513.75
20120920,42,108,3817653.75,1313190.00,319761.56,10347437.81
20120922,147,378,13756173.75,4597672.50,924283.12,37436203.12
20120923,147,378,13724268.75,4590708.75,839770.31,37376600.62
20120927,105,270,9540509.06,3276711.56,656173.12,25870218.75
20120928,105,270,9454297.50,3282536.25,728257.50,25651690.31
20120929,84,216,7599934.69,2625620.62,693736.88,20648362.50
20121018,21,54,1998773.44,658673.44,137202.19,5435865.00
20121019,21,54,2071366.88,665299.69,144129.38,5636671.88
20121020,21,54,2056786.88,662121.56,140467.50,5603743.12
20121021,21,54,2058665.62,660200.62,124343.44,5603194.69
20121030,21,54,2017839.38,658740.94,121727.81,5500687.50
20121111,21,54,2025199.69,656254.69,115796.25,5540909.06
20121123,42,108,4001883.75,1312529.06,193196.25,10908711.56
20130309,84,222,7490272.50,2652525.00,567123.75,20414761.88
20130310,45,125,3456014.06,1482508.12,352591.88,9246785.62
20130311,63,168,5634126.56,2005759.69,439596.56,15354950.62
20130322,21,54,1997403.75,649707.19,90464.06,5451091.88
20130404,105,288,8592249.38,3405301.88,820895.62,23371655.62
20130405,126,348,10535942.81,4089979.69,957417.19,28659062.81
20130406,147,393,12768077.81,4716317.81,992550.94,34454036.25
20130407,93,254,7600170.94,3024219.38,690876.56,20457585.00
20130408,65,178,5420719.69,2112165.00,561031.88,14671459.69
20130409,105,288,8900659.69,3414521.25,866176.88,24197841.56
20130410,109,313,8274411.56,3608097.19,897963.75,22903860.94
20130411,63,180,4773532.50,2089274.06,469001.25,12970659.38
20130412,42,120,3219896.25,1392660.00,322447.50,8727041.25
20130413,105,288,8831534.06,3385172.81,728060.62,24080672.81
20130414,63,174,5195373.75,2046937.50,494145.00,14113802.81
20130415,63,180,4855907.81,2088990.00,519100.31,13167298.12
20130416,63,180,4762372.50,2088953.44,525979.69,12900065.62
20130417,63,180,4750233.75,2090534.06,549624.38,12881182.50
20130418,63,162,5913815.62,1963009.69,472452.19,16116766.88
20130419,46,122,3955705.31,1474183.12,289434.38,10678227.19
20130420,105,270,9857927.81,3265970.62,729978.75,26852189.06
20130421,105,270,9970214.06,3272515.31,650435.62,27224544.38
20130425,63,162,5986802.81,1966083.75,387219.38,16349554.69
20130426,63,162,6122677.50,1958838.75,386347.50,16673040.00
20130428,14,34,1107596.25,473900.62,114918.75,2522368.12
20130429,7,12,622389.38,247331.25,41034.38,1036248.75
20130430,84,240,6394367.81,2781961.88,639596.25,17363536.88
20130501,37,101,2813363.44,1245723.75,279540.00,7319224.69
20130502,84,240,6512999.06,2814533.44,593277.19,17735343.75
20130503,63,180,4876332.19,2117295.00,553460.62,13216477.50
20130504,63,180,4895603.44,2110291.88,429510.94,13289006.25
20130505,21,60,1686810.94,701263.12,142858.12,4606025.62
20130513,42,120,3027282.19,1418360.62,435704.06,8206228.12
20130519,63,180,4753690.31,2120045.62,518042.81,12883432.50
20130521,16,41,1243625.62,536796.56,75540.94,3132419.06
20130528,42,108,4166659.69,1342004.06,339817.50,11235355.31
20130529,84,240,6489964.69,2816850.94,627305.62,17650513.12
20130530,63,180,4715395.31,2120456.25,559009.69,12784111.88
20130531,84,234,6732753.75,2784307.50,505347.19,18352482.19
20130601,21,60,1584157.50,704041.88,148193.44,4298107.50
20130602,84,240,6384273.75,2818141.88,654274.69,17322862.50
20130603,63,180,4794142.50,2117306.25,501224.06,12987050.62
20130604,42,114,3610636.88,1369665.00,247694.06,9812317.50
20130605,63,168,5608816.88,2033634.38,426591.56,15258979.69
20130606,42,114,3720405.94,1371360.94,313970.62,10025218.12
20130609,51,143,4370568.75,1640469.38,437903.44,12502155.94
20130610,21,60,1588772.81,704418.75,110415.94,4327256.25
20130611,7,24,741664.69,217774.69,25028.44,2588051.25
20130614,35,96,3370812.19,1092763.12,186125.62,9741133.12
20130616,42,114,3656919.38,1367147.81,334847.81,9926400.94
20130618,21,54,2031412.50,666618.75,112623.75,5501685.94
20130619,84,222,7401172.50,2696973.75,529155.00,19995581.25
20130620,84,216,7953271.88,2656099.69,498009.38,21490776.56
20130621,21,54,1973219.06,662526.56,124050.94,5324363.44
20130622,42,108,3952760.62,1329300.00,307274.06,10665241.88
20130623,45,114,4224417.19,1421032.50,299601.56,11368743.75
20130624,42,108,3810850.31,1328093.44,289020.94,10303290.00
20130625,21,54,1993772.81,666160.31,124025.62,5415381.56
20130626,42,108,4041233.44,1337208.75,328525.31,10917970.31
20130628,21,59,1529108.44,706930.31,188867.81,4044819.38
20130629,21,60,1552989.38,703822.50,162129.38,4200170.62
20130630,21,60,1642615.31,701859.38,113661.56,4464106.88
20130701,21,60,1615778.44,707056.88,149425.31,4374551.25
20130702,63,174,5264777.81,2077410.94,399029.06,14326852.50
20130703,42,114,3622072.50,1373776.88,229536.56,9840853.12
20130706,21,54,1917315.00,669712.50,147920.62,5217913.12
20130709,42,114,3598368.75,1369243.12,251955.00,9805733.44
20130710,21,60,1484946.56,711323.44,190428.75,4018888.12
20130711,42,108,3857315.62,1334075.62,330443.44,10480168.12
20130712,42,114,3514654.69,1375464.38,335115.00,9515410.31
20130713,42,114,3563268.75,1372438.12,283162.50,9689911.88
20130714,63,174,5188612.50,2081579.06,465803.44,14078702.81
20130715,63,174,5086220.62,2087226.56,477703.12,13770165.94
20130716,21,54,1990864.69,667766.25,143763.75,5402742.19
20130718,21,54,1984823.44,666180.00,124394.06,5378312.81
20130720,25,69,2318366.25,769809.38,144469.69,6941109.38
20130721,21,54,1922658.75,666402.19,138532.50,5179764.38
20130724,21,54,1949042.81,667206.56,110337.19,5296412.81
20130727,42,120,3135720.94,1414563.75,306582.19,8497546.88
20130728,21,60,1551197.81,709200.00,163980.00,4199951.25
20130729,52,142,3931481.25,1752030.00,327867.19,10230795.00
20130730,42,114,3438610.31,1376105.62,293256.56,9319024.69
20130731,84,240,6577641.56,2834294.06,777318.75,17248528.12
20130801,42,120,3035882.81,1416881.25,355463.44,8226230.62
20130802,86,233,7295130.00,2803606.88,554678.44,19891693.12
20130803,63,174,5166835.31,2074463.44,451510.31,14034746.25
20130804,4,8,277247.81,123603.75,24030.00,648320.62
20130805,32,88,2491745.62,1064809.69,182958.75,6591695.62
20130807,42,114,3543679.69,1370925.00,309192.19,9606777.19
20130808,21,60,1616397.19,702410.62,118892.81,4402535.62
20130811,42,114,3534612.19,1375582.50,271901.25,9592380.00
20130813,21,60,1583825.62,706668.75,138012.19,4299795.00
20130814,21,60,1565291.25,708060.94,163366.88,4243708.12
20130815,42,120,3187265.62,1414684.69,302619.38,8643628.12
20130816,2,7,170147.81,53533.12,7287.19,741650.62
20130825,21,54,1865008.12,662065.31,127603.12,5050805.62
20130826,42,120,3117495.94,1413135.00,301457.81,8453385.00
20130829,21,60,1560816.56,707473.12,142787.81,4228498.12
20130831,42,108,3832430.62,1325160.00,242505.00,10423040.62
20130901,63,180,4596679.69,2104920.00,499395.94,12452248.12
20130902,84,240,6232246.88,2805828.75,617554.69,16883026.88
20130903,42,120,3227326.88,1401401.25,298774.69,8757444.38
20130904,63,174,5017848.75,2058969.38,453155.62,13621536.56
20130905,21,60,1577955.94,702272.81,157334.06,4276164.38
20130907,21,54,1941913.12,658116.56,138048.75,5284161.56
20130909,21,54,1922104.69,659410.31,136940.62,5233893.75
20130911,21,60,1530489.38,703468.12,205905.94,4144708.12
20130912,21,60,1581165.00,700793.44,224991.56,4273644.38
20130914,9,29,858065.62,267145.31,52785.00,2980125.00
20130915,21,54,1926115.31,655967.81,117163.12,5226854.06
20130916,63,162,5798303.44,1970583.75,399656.25,15711814.69
20130919,21,54,1920718.12,658794.38,117348.75,5209936.88
20130922,21,54,1978827.19,656589.38,131940.00,5379665.62
20130924,21,60,1602528.75,699885.00,142635.94,4359211.88
20130927,42,114,3446533.12,1361562.19,263385.00,9330769.69
20131008,11,25,819843.75,362165.62,62187.19,1842910.31
20131009,105,288,8750913.75,3427318.12,701350.31,23801880.94
20131010,21,54,1989756.56,661016.25,132018.75,5422753.12
20131012,21,60,1631399.06,699806.25,124877.81,4421221.88
20131015,21,54,1982129.06,655880.62,106315.31,5400478.12
20131016,21,54,1946047.50,659466.56,130176.56,5276719.69
20131018,21,54,2015251.88,662090.62,116482.50,5506655.62
20131019,21,54,1967821.88,661547.81,130750.31,5361401.25
20131020,42,108,3983956.88,1320027.19,276994.69,10855611.56
20131021,21,54,1972575.00,659365.31,146635.31,5359232.81
20131023,42,108,3978669.38,1316480.62,225517.50,10848810.94
20131024,84,228,7106346.56,2720055.94,523805.62,19316719.69
20131027,84,234,6792173.44,2758581.56,653042.81,18459005.62
20131028,21,54,2035965.94,661151.25,105325.31,5575972.50
20131029,42,120,3217193.44,1400976.56,334552.50,8733555.00
20131030,21,60,1632546.56,700891.88,163431.56,4418499.38
20131101,63,174,5130745.31,2066861.25,415215.00,13933839.38
20131105,21,54,1951461.56,656507.81,141775.31,5307997.50
20131106,21,54,2035451.25,660045.94,113430.94,5564739.38
20131107,42,114,3568902.19,1358564.06,296493.75,9702343.12
20131108,94,262,8173305.00,3010021.88,566805.94,23250898.12
20131109,84,228,7313523.75,2721591.56,440226.56,19952181.56
20131111,42,108,4018708.12,1321599.38,230565.94,10956735.00
20131112,63,162,6066787.50,1981881.56,346390.31,16581130.31
20131113,42,108,3997603.12,1319391.56,270984.38,10887347.81
20131116,14,42,1394043.75,425643.75,61166.25,4391789.06
20131117,63,162,5998173.75,1981257.19,356099.06,16362720.00
20131118,42,108,3901201.88,1314531.56,189641.25,10623006.56
20131119,42,108,3964955.62,1318522.50,263025.00,10770212.81
20131120,84,216,7868261.25,2629887.19,460428.75,21416779.69
20131121,21,60,1622126.25,701066.25,163642.50,4378854.38
20131123,22,56,2122245.00,690966.56,317874.38,5748316.88
20131125,21,54,1981943.44,659070.00,144621.56,5405838.75
20131126,21,60,1646744.06,699224.06,130570.31,4489329.38
20131127,21,60,1601558.44,699660.00,151790.62,4349475.00
20131129,21,60,1656407.81,706086.56,152125.31,4557172.50
20131201,84,234,6974865.00,2772233.44,494302.50,19029526.88
20131202,21,60,1613756.25,699243.75,115430.62,4401736.88
20131203,21,54,1990963.12,658996.88,85100.62,5449266.56
20131204,42,114,3595241.25,1359939.38,221940.00,9824565.94
20131206,42,114,3669201.56,1355835.94,232129.69,10022110.31
20131208,9,17,765362.81,310438.12,51648.75,1431542.81
20131209,42,120,3212890.31,1401120.00,280788.75,8715622.50
20131210,63,180,4933940.62,2098094.06,421950.94,13426436.25
20131211,21,54,1953714.38,657360.00,133090.31,5321466.56
20131215,21,54,1966635.00,658684.69,121320.00,5366382.19
20131217,21,54,1938105.00,655742.81,104630.62,5288093.44
20131219,21,54,1985779.69,657458.44,125544.38,5433319.69
20131221,21,54,2013007.50,660197.81,97492.50,5502009.38
20131223,63,180,4837927.50,2102197.50,528707.81,13114771.88
20131230,21,60,1635643.12,697348.12,124157.81,4445701.88
20131231,21,60,1614405.94,699336.56,123842.81,4386481.88
20140101,10,22,802372.50,333461.25,54638.44,1743626.25
20140104,21,60,1590232.50,700765.31,125085.94,4307023.12
20140105,21,54,2030408.44,659365.31,103013.44,5570631.56
20140106,21,54,2009792.81,657601.88,101691.56,5513940.00
20140107,21,54,1962292.50,658372.50,95197.50,5357837.81
20140108,21,54,1934322.19,656302.50,106222.50,5277057.19
20140114,21,54,1947645.00,657267.19,117317.81,5311828.12
20140115,14,42,1428761.25,427800.94,68290.31,4517887.50
20140121,42,120,3136083.75,1403001.56,283322.81,8503081.88
20140123,42,114,3559935.94,1358625.94,279416.25,9670733.44
20140126,21,60,1684020.94,699173.44,130182.19,4581540.00
20140127,21,60,1616934.38,700489.69,134997.19,4376660.62
20140128,21,60,1537371.56,703220.62,207351.56,4160311.88
20140129,21,60,1549735.31,703465.31,152437.50,4193859.38
20140130,21,54,2097618.75,669642.19,160118.44,5696395.31
20140131,21,54,2013856.88,658158.75,104090.62,5504805.00
20140201,21,60,1544020.31,705338.44,185869.69,4176478.12
20140202,21,60,1588294.69,702925.31,172127.81,4293562.50
20140203,21,60,1576043.44,701142.19,131189.06,4276113.75
20140206,21,60,1575196.88,701983.12,125760.94,4300931.25
20140212,63,162,5963220.00,1979139.38,396700.31,16278094.69
20140213,63,162,5911830.00,1977187.50,373322.81,16120043.44
20140215,21,54,2020061.25,659469.38,102687.19,5534730.00
20140216,21,54,2022575.62,660872.81,102507.19,5516035.31
20140218,21,54,2008088.44,661086.56,111313.12,5473915.31
20140219,21,54,2041675.31,661190.62,120225.94,5557722.19
20140220,42,114,3621467.81,1359345.94,274696.88,9865757.81
20140221,63,174,5133945.94,2065556.25,509585.62,13938702.19
20140222,65,178,5363985.94,2124936.56,579099.38,14544947.81
20140223,21,60,1586733.75,701122.50,189975.94,4303462.50
20140224,42,120,3177801.56,1405043.44,328694.06,8626595.62
20140225,21,60,1635465.94,700008.75,134007.19,4449600.00
20140226,42,114,3590240.62,1362524.06,286447.50,9781031.25
20140227,84,240,6582602.81,2800890.00,614216.25,17910461.25
20140228,42,114,3618874.69,1357062.19,276018.75,9862472.81
20140301,80,221,6580110.94,2618296.88,491428.12,17837136.56
20140304,66,179,5858091.56,2100639.38,445404.38,16423925.62
20140305,42,120,3170587.50,1405679.06,300074.06,8575509.38
20140310,105,282,9127012.50,3387549.38,734093.44,24886631.25
20140311,84,222,7521674.06,2683988.44,643862.81,20444709.38
20140312,84,216,8000718.75,2641384.69,595285.31,21809570.62
20140313,84,216,7876279.69,2639559.38,537021.56,21455527.50
20140317,21,54,1990310.62,655869.38,141589.69,5393399.06
20140318,21,54,1976335.31,659283.75,114823.12,5376273.75
20140320,56,149,5248738.12,1744337.81,308517.19,14775280.31
20140321,105,288,8859740.62,3425149.69,773209.69,24150518.44
20140322,126,354,10109477.81,4166710.31,949348.12,27464689.69
20140323,87,246,7104549.38,2839755.94,614618.44,19942270.31
20140324,42,120,3264617.81,1400754.38,341220.94,8857665.00
20140325,21,60,1581800.62,702180.00,184528.12,4289563.12
20140326,21,60,1575790.31,702739.69,174495.94,4269060.00
20140327,21,60,1601094.38,700320.94,139488.75,4355943.75
20140328,42,114,3617772.19,1362948.75,250807.50,9859148.44
20140407,63,174,5167684.69,2066447.81,460884.38,14032487.81
20140408,105,294,8518632.19,3459937.50,803517.19,23209799.06
20140409,42,108,4046208.75,1321579.69,249603.75,11038024.69
20140410,21,54,2072129.06,664571.25,136417.50,5651347.50
20140412,84,216,8082750.94,2647164.38,569587.50,22055951.25
20140414,42,108,4111222.50,1325379.38,252132.19,11236547.81
20140416,63,162,5994334.69,1980689.06,397442.81,16295160.94
20140417,63,162,5992197.19,1981650.94,406707.19,16339176.56
20140418,63,162,5906635.31,1974836.25,436474.69,16118018.44
20140419,63,162,5931717.19,1972901.25,437087.81,16155576.56
20140420,42,120,3209250.94,1401657.19,352245.94,8727811.88
20140421,63,180,4841448.75,2102121.56,515323.12,13144224.38
20140422,84,228,7242654.38,2731530.94,567680.62,19744048.12
20140423,42,120,3122375.62,1406652.19,316963.12,8443743.75
20140424,42,120,3273955.31,1400132.81,264926.25,8931751.88
20140425,53,146,4069943.44,1763271.56,373573.12,10748047.50
20140426,11,28,848494.69,356017.50,68920.31,2151911.25
20140427,84,240,6391904.06,2807783.44,706775.62,17325264.38
20140428,21,60,1580256.56,703333.12,155598.75,4298799.38
20140429,22,64,1582976.25,738480.94,168671.25,4402811.25
20140502,11,36,1034319.38,315295.31,34290.00,3787402.50
20140505,42,120,3263858.44,1404194.06,342759.38,8858486.25
20140506,147,408,12025991.25,4831793.44,1174170.94,32650900.31
20140507,168,480,13109104.69,5602145.62,1355270.62,35625926.25
20140508,147,414,11623502.81,4877364.38,1227619.69,31583345.62
20140509,126,336,11283609.38,4036978.12,969567.19,30649817.81
20140512,21,54,2063832.19,667046.25,115093.12,5624277.19
20140513,7,24,715910.62,213263.44,42075.00,2537763.75
20140514,63,162,5882512.50,1976807.81,404173.12,15929513.44
20140515,84,216,7956840.94,2638313.44,518402.81,21628307.81
20140516,42,108,3978202.50,1316941.88,238980.94,10834731.56
20140517,42,108,3949852.50,1316967.19,260912.81,10752834.38
20140518,63,168,5602393.12,2021040.00,406873.12,15280545.94
20140519,60,172,4660385.62,1979952.19,404161.88,12817175.62
20140520,63,180,4893207.19,2101581.56,437045.62,13324095.00
20140521,21,60,1693389.38,699032.81,105882.19,4574491.88
20140527,42,120,3221966.25,1400565.94,331228.12,8753400.00
20140530,10,22,809637.19,332336.25,49055.62,1766351.25
20140531,42,120,3214797.19,1399308.75,336805.31,8729938.12
20140601,42,120,3378692.81,1395067.50,304087.50,9213148.12
20140607,42,120,3205589.06,1399398.75,335643.75,8694658.12
20140619,21,60,1617471.56,699848.44,121812.19,4400330.62
20140620,21,60,1531459.69,704927.81,159944.06,4139550.00
20140621,21,60,1658399.06,694650.94,162014.06,4510237.50
20140622,21,60,1592280.00,701777.81,130359.38,4322323.12
20140623,21,60,1644657.19,698973.75,106396.88,4464135.00
20140702,21,60,1584410.62,701640.00,137972.81,4304615.62
20140709,21,54,1922346.56,662737.50,543782.81,5310815.62
20140710,21,54,2000100.94,661730.62,144292.50,5415280.31
20140726,42,120,3199016.25,1413123.75,308179.69,8694033.75
20140727,21,60,1503315.00,711987.19,185880.94,4066571.25
20140728,21,60,1550356.88,706362.19,183743.44,4211516.25
20140729,21,60,1549659.38,706452.19,169045.31,4202004.38
20140801,21,54,1996925.62,660712.50,105626.25,5470298.44
20140805,42,108,3860361.56,1322994.38,346426.88,10427000.62
20140806,21,54,1969852.50,666202.50,173733.75,5362891.88
20140807,21,54,1998961.88,662512.50,141156.56,5438505.94
20140808,45,117,4256060.62,1416051.56,331745.62,11758449.38
20140810,9,30,871633.12,269336.25,56210.62,3138075.00
20140811,21,54,1925285.62,659882.81,154327.50,5239878.75
20140815,21,60,1558487.81,704418.75,175280.62,4227198.75
20140816,42,120,3203310.94,1403946.56,272646.56,8687570.62
20140817,42,120,3024610.31,1414918.12,361577.81,8180679.38
20140818,21,60,1558434.38,703665.00,162202.50,4236772.50
20140819,42,120,3086403.75,1413466.88,304461.56,8355526.88
20140820,42,120,3164889.38,1405454.06,329135.62,8599685.62
20140821,42,120,3150486.56,1409118.75,311512.50,8544076.88
20140824,21,54,2021250.94,665530.31,158962.50,5494002.19
20140825,18,50,1707041.25,541845.00,124706.25,5167499.06
20140827,21,54,2009635.31,665912.81,135126.56,5465025.00
20140828,21,60,1538597.81,707343.75,167557.50,4168468.12
20140830,42,114,3421673.44,1365927.19,312578.44,9278699.06
20140831,42,114,3578307.19,1372924.69,333767.81,9733483.12
20140901,21,54,1957207.50,660712.50,132890.62,5301857.81
20140902,21,54,2124331.88,665580.94,204674.06,4078423.12
20140903,21,54,2032903.12,663859.69,142304.06,5537790.00
20140904,42,108,3995550.00,1320868.12,268304.06,10852731.56
20140905,105,270,9665170.31,3298556.25,677674.69,26262615.94
20140906,42,108,3914727.19,1320252.19,281939.06,10616374.69
20140907,42,108,3968417.81,1321745.62,282344.06,10830574.69
20140908,28,78,2621010.94,875761.88,219690.00,7707692.81
20140915,21,54,1972974.38,660448.12,99165.94,5388780.94
20140918,40,109,3374614.69,1265422.50,256741.88,9681173.44
20140919,54,145,4855328.44,1665253.12,345192.19,13980248.44
20140920,21,60,1549380.94,706893.75,186027.19,4191226.88
20140922,21,54,1958349.38,662166.56,131127.19,5329673.44
20140923,21,54,1921294.69,660737.81,117568.12,5213486.25
20140924,21,54,1919792.81,661404.38,163996.88,5212884.38
20140925,21,60,1582500.94,707588.44,157072.50,4294012.50
20140926,42,114,3561339.38,1368840.94,285353.44,9663536.25
20141001,84,222,7454098.12,2673705.94,657540.00,20238032.81
20141005,21,54,2028254.06,657216.56,96404.06,5550482.81
20141006,21,54,2003692.50,655731.56,152476.88,5460367.50
20141007,21,54,1992706.88,659238.75,157125.94,5416413.75
20141008,21,54,1978121.25,658020.94,155033.44,5372142.19
20141012,21,54,1954974.38,657241.88,140070.94,5313223.12
20141013,63,180,4742732.81,2098184.06,439003.12,12832689.38
20141017,44,124,3421555.31,1455896.25,327057.19,9239940.00
20141018,42,120,3101568.75,1403440.31,361783.12,8367474.38
20141019,21,60,1600880.62,699927.19,164865.94,4328364.38
20141020,63,168,5675602.50,2013485.62,434497.50,15443670.94
20141024,21,54,2007877.50,657329.06,144725.62,5475664.69
20141026,21,60,1554249.38,701223.75,127501.88,4212067.50
20141028,42,114,3530362.50,1353667.50,294600.94,9610180.31
20141029,21,60,1677248.44,697938.75,187425.00,4535251.88
20141102,21,54,2069271.56,661719.38,105848.44,5651254.69
20141103,21,54,2048703.75,658965.94,113000.62,5616303.75
20141104,84,216,8283794.06,2655956.25,546328.12,22600397.81
20141105,21,54,2027424.38,657376.88,85415.62,5539944.38
20141106,21,54,2091532.50,675033.75,176700.94,5674187.81
20141109,21,54,2005804.69,659095.31,118918.12,5456137.50
20141110,21,54,2025368.44,657686.25,113124.38,5545881.56
20141111,21,54,2002010.62,657793.12,134192.81,5459703.75
20141112,21,54,2018311.88,657286.88,119356.88,5527701.56
20141113,60,157,5523432.19,1910536.88,369720.00,14988645.00
20141114,51,142,4525070.62,1631986.88,279900.00,12912831.56
20141115,42,120,3203893.12,1400217.19,284419.69,8726771.25
20141116,105,288,8780788.12,3419507.81,637098.75,23909132.81
20141117,21,60,1637400.94,699041.25,139266.56,4449442.50
20141118,63,174,5177950.31,2059965.00,404001.56,14070616.88
20141119,42,120,3205389.38,1400031.56,298192.50,8698376.25
20141120,105,288,8972268.75,3412569.38,655287.19,24425983.12
20141121,63,174,5292039.38,2058803.44,390555.00,14403543.75
20141122,42,114,3666543.75,1358769.38,250065.00,9992103.75
20141124,42,114,3637074.38,1358656.88,262597.50,9914999.06
20141127,21,60,1643585.62,698681.25,131290.31,4472589.38
20141202,21,54,1938540.94,656229.38,117452.81,5278415.62
20141203,21,54,2034627.19,658982.81,107471.25,5565771.56
20141205,21,54,1957573.12,655995.94,123930.00,5347712.81
20141206,21,54,2001675.94,658268.44,134901.56,5460972.19
20141207,21,54,1998835.31,660164.06,121187.81,5452374.38
20141208,21,54,1968696.56,658290.94,130064.06,5372055.00
20141209,42,108,4049454.38,1320077.81,237090.94,11022060.94
20141212,42,120,3236512.50,1396535.62,292142.81,8798490.00
20141214,42,114,3656134.69,1358550.00,280791.56,9958851.56
20141215,21,60,1596543.75,701021.25,178945.31,4326508.12
20141216,21,60,1586941.88,701212.50,161521.88,4298951.25
20141217,21,60,1592175.94,699156.56,165602.81,4313491.88
20141223,21,60,1566705.94,702402.19,149925.94,4237773.75
20141226,42,120,3223136.25,1403280.00,318687.19,8714261.25
20141228,63,174,5400787.50,2052458.44,379172.81,14733708.75
20150102,21,54,2011519.69,656122.50,129186.56,5498246.25
20150103,21,54,1993308.75,660166.88,85601.25,5430535.31
20150105,21,54,2005185.94,658583.44,123415.31,5494983.75
20150106,21,54,2040938.44,659809.69,106920.00,5576363.44
20150107,42,108,3956639.06,1314610.31,237259.69,10803749.06
20150114,63,168,5587928.44,2015372.81,425655.00,15227803.12
20150115,21,54,1947155.62,657264.38,155224.69,5298727.50
20150116,21,54,1993862.81,659092.50,124059.38,5435479.69
20150122,21,60,1609157.81,701206.88,166758.75,4356793.12
20150125,42,120,3269174.06,1401013.12,278625.94,8874472.50
20150126,21,60,1580934.38,701637.19,174150.00,4281075.00
20150129,63,168,5567529.38,2016399.38,404378.44,15128732.81
20150131,63,162,6092448.75,1978340.62,453670.31,16477101.56
20150201,23,60,2214860.62,713300.62,114162.19,6260529.38
20150202,28,75,2810286.56,883085.62,182725.31,7885324.69
20150203,84,216,8209597.50,2640290.62,496001.25,22363652.81
20150211,63,179,4867309.69,2097118.12,470424.38,13142112.19
20150212,21,60,1582995.94,699820.31,166843.12,4289878.12
20150213,63,168,5750018.44,2013103.12,379175.62,15670693.12
20150215,63,180,4809346.88,2098454.06,447255.00,13048998.75
20150217,42,120,3157650.00,1398971.25,297742.50,8563156.88
20150222,63,180,4824840.94,2100827.81,488891.25,13068551.25
20150223,21,60,1564950.94,700396.88,180137.81,4243224.38
20150224,63,180,4678368.75,2102686.88,579183.75,12638660.62
20150225,42,120,3268074.38,1396828.12,260468.44,8880170.62
20150228,21,54,1956791.25,655540.31,127847.81,5336409.38
20150301,126,330,11563146.56,3995431.88,837981.56,31510355.62
20150302,84,216,7969379.06,2633835.94,562567.50,21709575.00
20150303,63,162,6072089.06,1973860.31,423075.94,16535702.81
20150304,21,54,2020817.81,659705.62,132193.12,5518636.88
20150305,84,216,7839444.38,2627350.31,593102.81,21339742.50
20150311,42,120,3121022.81,1401741.56,402165.00,8442489.38
20150312,63,180,4698289.69,2102481.56,459855.00,12722776.88
20150317,85,231,6604934.06,2859339.38,547439.06,17027957.81
20150318,14,41,1415986.88,427066.88,141643.12,4266326.25
20150319,126,348,10513378.12,4110899.06,724303.12,28610853.75
20150320,105,288,8754032.81,3410049.38,700498.12,23799813.75
20150405,21,54,2061466.88,639092.81,151382.81,5590029.38
20150408,44,114,4234570.31,1370176.88,234163.12,11778139.69
20150409,21,54,2045354.06,654131.25,94072.50,5615226.56
20150411,21,54,2029674.38,656856.56,104042.81,5578228.12
20150412,21,60,1628302.50,696515.62,132719.06,4431583.12
20150413,168,474,13402690.31,5531709.38,1146133.12,36469321.88
20150415,63,180,4746636.56,2095003.12,568220.62,12866276.25
20150416,105,288,9094620.94,3358920.94,736970.62,25095481.88
20150417,98,264,8942540.62,3078205.31,616930.31,25009410.94
20150418,147,402,12438472.50,4766478.75,1067056.88,33783409.69
20150419,126,360,9854940.94,4176610.31,922002.19,26803186.88
20150420,84,228,7213170.94,2705450.62,603371.25,19619589.38
20150421,35,96,3131766.56,1095229.69,230357.81,8840663.44
20150422,7,24,474319.69,228453.75,75557.81,1588961.25
20150423,14,48,941214.38,455155.31,125516.25,3170160.00
20150508,21,54,1994065.31,651934.69,132879.38,5430085.31
20150509,21,54,2003630.62,654415.31,101390.62,5459743.12
20150510,84,234,6838987.50,2737589.06,680866.88,18568065.94
20150511,63,168,5599451.25,2010546.56,598542.19,15353811.56
20150512,126,360,9807997.50,4160486.25,1063251.56,26661127.50
20150513,91,264,6927437.81,3002326.88,826644.38,19141048.12
20150514,105,300,8069377.50,3472157.81,821944.69,21946066.88
20150515,84,240,6426871.88,2781112.50,647184.38,17446708.12
20150517,105,300,7962682.50,3478272.19,930375.00,21594628.12
20150518,105,294,8453730.94,3434951.25,824762.81,22943072.81
20150522,21,54,1980793.12,652353.75,133700.62,5405298.75
20150523,21,54,2006347.50,652407.19,87648.75,5482853.44
20150526,63,174,5158209.38,2046009.38,443129.06,14016574.69
20150528,21,60,1641670.31,694116.56,150584.06,4454060.62
20150530,45,120,4331511.56,1383167.81,259295.62,12339059.06
20150531,84,216,7940865.94,2612010.94,491144.06,21606004.69
20150601,42,108,3955736.25,1309542.19,239456.25,10765859.06
20150602,84,216,8093829.38,2610770.62,448855.31,22119080.62
20150603,42,108,3984966.56,1311055.31,289617.19,10840845.94
20150604,84,216,8028320.62,2625502.50,519522.19,21771520.31
20150605,42,108,4030785.00,1309218.75,277157.81,11000109.38
20150606,42,108,4000432.50,1310695.31,262693.12,10874036.25
20150607,63,162,5965458.75,1968353.44,503507.81,16137930.94
20150608,21,60,1567338.75,695683.12,194425.31,4248618.75
20150609,42,120,3155101.88,1389915.00,336954.38,8559213.75
20150610,21,60,1540665.00,697488.75,153247.50,4176315.00
20150611,21,60,1587003.75,694667.81,144309.38,4317997.50
20150623,21,60,1558020.94,704354.06,188614.69,4238600.62
20150624,21,60,1541247.19,704306.25,185934.38,4193156.25
20150625,42,114,3500865.00,1364954.06,320785.31,9496850.62
